Date,Loc,TempLow,TempHigh,Evaporation,Sun,WindDir,WindSpeed,DayWindDir,NightWindDir,WindSpeed9am,WindSpeed3pm,DayHumidity,NightHumidity,Pressure9am,Pressure3pm,DayCloud,NightCloud,Temp9am,Temp3pm,Label,RISK_MM
2014/2/6,Mildura,18.2,32,4.4,11.06,WSW,49,WSW,W,36,66,31.83802921,98.82665169,,1011.968,2.4,,25.55,26.86,0,
2014/4/24,,2,,,5.3,N,67,,NNE,49,31,,68.61817194,1022.624,1011.704,,3.705932297,17.23,16.78,0,7.3
2013/4/5,Canberra,,24.8,5.389920928,8.26,,20,,NNW,8,60,50.43868401,,1027.328,1017.864,7.2,,5.53,19.16,0,0
,Richmond,,27.32,5.389920928,,ESE,35,,NE,,27,55.58612891,97.61073329,1034.384,1024.464,,3.705932297,19.18,22.1,0,1.8
2011/8/13,,,26.84,-2.8,,S,61,,,19,9,,,1015.12,,,1.2,15.28,,0,19.6
,,8.45,26.48,-3.2,6.74,,77.38314977,NNW,E,,,58.03305275,113.2236467,1017.024,1009.416,,0.1,16.71,21.54,0,1.1
2011/12/6,Tuggeranong,,41.24,,,NE,59,NNE,NNW,0,39,41.67757422,92.15108358,1020.048,1010.56,4.133812722,3.705932297,,36.94,0,0
,,15.5,41.96,5.389920928,8.094581609,W,20,ENE,W,43,,39.76163291,71.55345199,1015.008,1009.592,4.133812722,3.705932297,,36.52,0,
2016/8/28,Nuriootpa,-2.8,28.04,-2,7.94,E,85,,WNW,25,,22.73311768,80.96078515,1025.76,1017.512,5.6,2.3,22.17,23.08,0,1.7
2016/9/18,,12.2,32.24,5.389920928,8.094581609,E,39,E,N,4,29,38.3783542,,1011.536,1006.16,4.133812722,3.705932297,24.25,25.88,0,
2016/12/13,Brisbane,16.7,37.4,3.2,9.62,NE,36,SW,NE,16,28,57.99152869,89.77461448,,,3.2,4.5,29.45,32.46,0,
2010/6/2,,9.65,43.76,32,10.74,NNE,27,NE,ENE,44,,-0.043979719,63.73411652,1025.2,1016.28,,0.1,35.82,40.44,0,2.5
,Hobart,2.15,,0,10.98,NW,85,NNW,SE,6,33,56.15978358,,1018.256,,4.133812722,3.705932297,16.19,15.8,0,2.6
,Albury,-0.85,,5.389920928,8.094581609,,31,S,NE,,20,70.03971458,107.754854,,1017.952,4.133812722,5.6,12.16,,0,0.3
2014/1/1,Townsville,29,38,0,,ENE,14,ENE,NE,46,58,,96.04732195,1020.944,,6.4,2.3,,33.58,0,2.5
,BadgerysCreek,,,5.389920928,8.094581609,,37,NNW,NE,,,42.43469797,,1021.952,,,3.705932297,27.37,32.46,0,2.9
,,25.55,,23.6,,N,,NW,S,19,42,,32.22944587,1011.872,,2.4,5.6,,24.62,0,3.7
2013/10/4,Bendigo,8.75,21.32,,,NNW,34,WNW,W,50,62,65.98837784,108.031308,1010.08,1008.272,4.133812722,,,14.54,1,4
2014/3/11,Moree,1.4,29.6,,8.094581609,,83,SE,SW,30,40,20.90919652,78.28657469,,1015.224,,3.705932297,,,0,0.6
2012/7/17,,15.8,41.48,10,,,17,E,,43,18,,80.10069189,1021.28,1012.584,2.4,0.1,31.4,38.76,0,
2008/12/9,Brisbane,12.2,33.32,2.8,9.86,,18,,NNE,19,54,70.45753121,68.73225441,1020.048,,0.8,,26.85,27.28,0,0.5
2009/10/17,Sydney,18.65,31.76,,8.1,ESE,78,NNW,SE,41,,,77.0299469,1017.696,1012.848,3.2,5.6,29.71,27.14,0,25.9
2009/11/12,Sydney,29.15,38.96,12.4,,NNE,52,N,NE,36,27,62.25231718,87.52417103,1024.192,1015.752,4,3.4,35.04,,0,2.8
2010/8/9,Moree,-3.1,25.16,,8.094581609,SSW,,S,SSW,43,62,,,1026.768,,4.133812722,3.705932297,14.37,,0,3.1
2016/8/15,Canberra,6.65,27.44,0.4,8.34,,,SSE,ENE,34,31,,81.49523262,1030.576,1021.208,3.2,5.6,21,22.24,0,0
,Ballarat,8.3,17.12,5.389920928,,N,66,N,,20,-6,,,1018.592,,7.2,7.8,16.32,,1,6.3
2015/8/30,,11.75,30.32,5.389920928,8.094581609,NE,50,E,S,12,27,,115.1243229,1020.16,1013.024,4.133812722,,,,0,0.4
2011/10/27,Townsville,21.65,,12.8,11.06,ENE,66,ESE,ENE,15,58,56.4522874,,1019.6,1013.024,3.2,0.1,37.64,33.3,0,
2015/6/5,NorahHead,11.15,25.88,5.389920928,,WSW,53,WSW,S,53,47,80.16798587,89.52752674,1031.248,1022.264,,3.705932297,20.35,19.58,0,5.6
2013/9/20,Sale,1.85,30.8,-1.6,7.3,NNE,59,S,,39,5,,109.3377702,1020.048,1013.64,4.8,,16.71,24.34,0,2.8
,Katherine,33.05,46.4,4.4,8.094581609,WNW,35,WNW,ESE,49,49,58.11532847,111.6624727,1011.984,1005.28,,3.705932297,39.85,,1,33.3
2015/10/4,,,32.6,,10.9,,70,E,ENE,31,10,22.12907843,78.70517623,1030.24,1019.36,,1.2,22.17,28.26,0,3
,Perth,0.05,32,-4,8.9,,,NE,E,30,20,,92.35252954,1034.048,1024.376,5.6,,19.44,27.28,0,2.2
2013/12/1,Moree,3.95,37.16,5.389920928,8.094581609,WSW,,,,11,41,15.75924659,,1024.864,1015.576,4.133812722,,26.98,34.14,0,0.2
2012/10/27,Bendigo,11.75,45.8,,8.094581609,NW,41,NNE,NW,36,39,23.34536571,104.3685462,1016.912,,4.133812722,3.705932297,,,0,
2016/1/23,Nuriootpa,,53.84,19.6,8.1,N,56,N,NW,50,6,,57.19101535,1010.64,1005.808,1.6,6.7,45.7,51.08,0,3.7
,Albury,,22.64,5.389920928,8.094581609,W,,E,W,14,6,,123.2324799,1039.76,1028.16,7.2,3.705932297,8.13,16.78,0,
2013/10/21,Bendigo,-9.1,22.64,5.389920928,,WNW,33,,W,-16,,,91.42294785,1020.048,1012.408,4.133812722,3.705932297,13.98,16.36,0,3.5
2012/11/27,Cobar,27.95,,,8.094581609,,65,E,WSW,-3,,31.22907763,89.48704123,1019.264,1013.288,2.4,2.3,39.33,45.06,1,1
2017/5/26,,6.05,22.76,,4.74,WSW,39,,,,45,60.7727028,,1028.896,1020.944,5.6,6.7,15.67,,0,
